,Disk2Angle,DeltaEECable
207,0.23561944901922943,-4.084411030452079
208,0.2443460952792011,-4.120156581591429
209,0.25307274153917275,-4.155710213049907
210,0.2617993877991444,-4.191069217280827
211,0.27052603405911607,-4.22623090155912
212,0.27925268031908773,-4.2611925881863915
213,0.2879793265790594,-4.295951614694847
214,0.29670597283903105,-4.330505334050042
215,0.3054326190990027,-4.3648511148524705
216,0.31415926535897437,-4.3989863415379435
217,0.32288591161894603,-4.432908414576794
218,0.3316125578789177,-4.4666147506718215
219,0.34033920413888935,-4.500102782955038
220,0.349065850398861,-4.533369961183125
221,0.35779249665883267,-4.566413751931665
222,0.36651914291880433,-4.5992316387880585
223,0.375245789178776,-4.631821122543162
224,0.38397243543874765,-4.664179721381609
225,0.3926990816987193,-4.696304971070819
226,0.40142572795869097,-4.72819442514865
227,0.41015237421866263,-4.759845655109709
228,0.4188790204786343,-4.791256250590291
229,0.42760566673860595,-4.822423819551941
230,0.4363323129985776,-4.853345988463609
231,0.44505895925854927,-4.884020402482417
232,0.45378560551852093,-4.914444725632972
233,0.4625122517784926,-4.944616640985275
234,0.47123889803846425,-4.974533850831158
235,0.4799655442984359,-5.004194076859262
236,0.48869219055840757,-5.033595060328539
237,0.49741883681837923,-5.0627345622402675
238,0.5061454830783508,-5.09161036350856
239,0.5148721293383225,-5.120220265129354
240,0.5235987755982942,-5.148562088347869
241,0.5323254218582658,-5.17663367482454
242,0.5410520681182375,-5.204432886799372
243,0.5497787143782091,-5.231957607254747
244,0.5585053606381808,-5.259205740076633
245,0.5672320068981525,-5.286175210214223
246,0.5759586531581241,-5.312863963837944
247,0.5846852994180958,-5.339269968495884
248,0.5934119456780674,-5.365391213268548
249,0.6021385919380391,-5.39122570892202
250,0.6108652381980108,-5.41677148805943
251,0.6195918844579824,-5.44202660527079
252,0.6283185307179541,-5.46698913728115
253,0.6370451769779257,-5.491657183097047
254,0.6457718232378974,-5.51602886415129
255,0.654498469497869,-5.540102324446005
256,0.6632251157578407,-5.563875730693985
257,0.6719517620178124,-5.587347272458307
258,0.680678408277784,-5.610515162290188
259,0.6894050545377557,-5.633377635865116
260,0.6981317007977274,-5.655932952117221
261,0.706858347057699,-5.678179393371838
262,0.7155849933176707,-5.7001152654763345
263,0.7243116395776423,-5.721738897929127
264,0.733038285837614,-5.743048644006876
265,0.7417649320975856,-5.764042880889923
266,0.7504915783575573,-5.784720009785843
267,0.759218224617529,-5.805078456051213
268,0.7679448708775006,-5.825116669311532
269,0.7766715171374723,-5.844833123579278
270,0.785398163397444,-5.864226317370125
271,0.7941248096574156,-5.883294773817282
272,0.8028514559173873,-5.902037040783959
